,Diagnose,Word,Occurrences
0,1,classif,1
1,1,endometri,10
2,1,cell,8
3,1,cervic,1
4,1,cytolog,3
5,1,one,6
6,1,hundr,1
7,1,eightyeight,4
8,1,women,1
9,1,specimen,4
10,1,secretori,1
11,1,phase,2
12,1,postmenopaus,2
13,1,period,2
14,1,studi,2
15,1,retrospect,1
16,1,undergon,1
17,1,hysterectomi,1
18,1,biopsi,1
19,1,within,2
20,1,twelv,1
21,1,month,6
22,1,origin,2
23,1,smear,4
24,1,classifi,1
25,1,typic,7
26,1,atyp,1
27,1,suspici,3
28,1,carcinoma,8
29,1,among,4
30,1,premenopaus,5
31,1,subject,1
32,1,three,2
33,1,fiftyseven,2
34,1,hyperplasia,4
35,1,two,2
36,1,polyp,2
37,1,group,4
38,1,ten,2
39,1,135,2
40,1,seventyfour,2
41,1,either,2
42,1,five,6
43,1,227,2
44,1,twentytwo,2
45,1,twentyfour,2
46,1,774,2
47,1,thirtyon,1
48,1,patient,12
49,1,present,1
50,1,find,1
51,1,review,3
52,1,pertin,1
53,1,literatur,1
54,1,demonstr,1
55,1,system,4
56,1,use,1
57,1,help,4
58,1,predict,4
59,1,risk,4
60,1,diseas,2
61,1,seen,2
62,1,classification,1
63,1,endometrial,10
64,1,cervical,1
65,1,cytology,3
66,1,hundred,5
67,1,woman,1
68,1,cytologic,3
69,1,secretory,1
70,1,postmenopausal,2
71,1,studied,1
72,1,retrospectively,1
73,1,undergone,1
74,1,hysterectomy,1
75,1,biopsy,1
76,1,twelve,1
77,1,original,1
78,1,classified,1
79,1,typical,7
80,1,atypical,1
81,1,suspicious,3
82,1,premenopausal,5
83,1,thirtyone,1
84,1,finding,1
85,1,pertinent,1
86,1,literature,1
87,1,demonstrate,1
88,1,used,3
89,1,helpful,1
90,1,predicting,1
91,1,disease,2
92,1,biliari,2
93,1,pancreat,4
94,1,metastas,4
95,1,breast,4
96,1,surgic,1
97,1,palliat,1
98,1,indic,1
99,1,obstruct,2
100,1,jaundic,3
101,1,develop,1
102,1,concomitantli,1
103,1,diagnosi,1
104,1,abdomin,1
105,1,explor,1
106,1,disclos,1
107,1,metastat,1
108,1,tumor,8
109,1,head,10
110,1,pancrea,3
111,1,distal,4
112,1,bile,2
113,1,duct,2
114,1,gallbladd,1
115,1,cholecystectomi,1
116,1,choledochojejunostomi,1
117,1,perform,1
118,1,later,2
119,1,intestin,1
120,1,underw,1
121,1,gastrojejunostomi,1
122,1,patholog,2
123,1,examin,3
124,1,lobular,4
125,1,strongli,1
126,1,posit,2
127,1,stain,1
128,1,estradiol,2
129,1,addit,1
130,1,hormon,2
131,1,therapi,1
132,1,given,2
133,1,sinc,1
134,1,oper,2
135,1,aliv,2
136,1,sixteen,2
137,1,case,4
138,1,suggest,1
139,1,vigor,1
140,1,diagnost,1
141,1,approach,2
142,1,adopt,1
143,1,everi,1
144,1,cancer,4
145,1,order,2
146,1,exclud,1
147,1,caus,1
148,1,diffus,1
149,1,involv,1
150,1,liver,4
151,1,extrahepat,1
152,1,metastasi,1
153,1,treat,2
154,1,aggress,1
155,1,treatment,2
156,1,combin,1
157,1,offer,2
158,1,signific,1
159,1,better,2
160,1,surviv,3
161,1,biliary,2
162,1,pancreatic,4
163,1,metastasis,1
164,1,surgical,1
165,1,palliation,1
166,1,indicated,1
167,1,obstructive,2
168,1,jaundice,3
169,1,developed,1
170,1,concomitantly,1
171,1,diagnosis,1
172,1,abdominal,1
173,1,exploration,1
174,1,disclosed,1
175,1,metastatic,1
176,1,pancreas,3
177,1,gallbladder,1
178,1,cholecystectomy,1
179,1,choledochojejunostomy,1
180,1,performed,1
181,1,intestinal,1
182,1,obstruction,1
183,1,underwent,1
184,1,gastrojejunostomy,1
185,1,pathological,2
186,1,examination,3
187,1,demonstrated,1
188,1,strongly,1
189,1,positive,2
190,1,staining,2
191,1,additional,1
192,1,hormonal,1
193,1,therapy,1
194,1,since,1
195,1,operation,3
196,1,alive,2
197,1,suggests,1
198,1,vigorous,1
199,1,diagnostic,1
200,1,adopted,1
201,1,every,1
202,1,jaundiced,1
203,1,exclude,1
204,1,cause,1
205,1,diffuse,1
206,1,involvement,1
